code,category,source_sheet,name_ru,name_ru_alt,name_cn,name_en,standard_hours
MANTGX_FILTR_MASLYANOGO_MODULYA,2. Двигатель и фильтры,2. Двигатель и фильтры,Воздушный фильтр масляного модуля,"возд фильтр масл модуля; воздушный фильтр масляного модуля; двигатель d20 d26",,,0.3
MANTGX_TURBOKOMPRESSOR,3. Двигатель (ремонт),3. Двигатель (ремонт),Турбокомпрессор,"замена турбокомпрессора; турбина",,,5.0
MANTGX_FORSUNKI_KOMPLEKT,3. Двигатель (ремонт),3. Двигатель (ремонт),Форсунки комплект,"замена комплекта форсунок; форсунки комплект",,,5.5
MANTGX_VODYANOY_NASOS,3. Двигатель (ремонт),3. Двигатель (ремонт),Водяной насос,"замена водяного насоса; помпа",,,3.0
MANTGX_RADIATOR,3. Двигатель (ремонт),3. Двигатель (ремонт),Радиатор,"замена радиатора; радиатор охлаждения",,,6.5
MANTGX_KOMPRESSOR_VOZDUHA,3. Двигатель (ремонт),3. Двигатель (ремонт),Компрессор воздуха,"замена компрессора воздуха; воздушный компрессор",,,5.0
MANTGX_EGR_SISTEMA,3. Двигатель (ремонт),3. Двигатель (ремонт),EGR система,"ремонт egr; замена egr; система egr",,,5.5
MANTGX_DPF_DEMONTAZH_MONTAZH,3. Двигатель (ремонт),3. Двигатель (ремонт),DPF демонтаж/монтаж,"dpf демонтаж монтаж; сажевый фильтр dpf",,,3.0
MANTGX_STSEPLENIE,4. Трансмиссия,4. Трансмиссия,Сцепление,"замена сцепления; комплект сцепления",,,10.0
MANTGX_KPP_ZAMENA,4. Трансмиссия,4. Трансмиссия,КПП замена,"замена кпп; коробка передач замена",,,9.5
MANTGX_KARDAN,4. Трансмиссия,4. Трансмиссия,Кардан,"кардан; карданный вал",,,2.0
MANTGX_PODVESNOY_PODSHIPNIK,4. Трансмиссия,4. Трансмиссия,Подвесной подшипник,"замена подвесного подшипника; подвесной подшипник кардана",,,2.0
MANTGX_GLAVNAYA_PEREDACHA,4. Трансмиссия,4. Трансмиссия,Главная передача,"ремонт главной передачи; редуктор",,,7.0
MANTGX_TORMOZA_OS,5. Ходовая и тормоза,5. Ходовая и тормоза,Тормоза (ось),"тормоза одна ось; колодки одна ось",,,2.0
MANTGX_TORMOZA_DVE_OSI,5. Ходовая и тормоза,5. Ходовая и тормоза,Тормоза (две оси),"тормоза две оси; колодки две оси",,,5.5
MANTGX_TORMOZNAYA_KAMERA,5. Ходовая и тормоза,5. Ходовая и тормоза,Тормозная камера,"замена тормозной камеры; тормозная камера",,,1.2
MANTGX_REGULIROVKA_TORMOZOV,5. Ходовая и тормоза,5. Ходовая и тормоза,Регулировка тормозов,регулировка тормозов,,,1.0
MANTGX_PNEVMOBALLON,5. Ходовая и тормоза,5. Ходовая и тормоза,Пневмобаллон,"замена пневмобаллона; подушка подвески",,,1.2
MANTGX_STUPICHNYY_UZEL,5. Ходовая и тормоза,5. Ходовая и тормоза,Ступичный узел,"ступичный узел; ступица; подшипник ступицы",,,3.0
MANTGX_AKKUMULYATOR,6. Электрика,6. Электрика,Аккумулятор,"замена аккумулятора; аккумулятор",,,0.8
MANTGX_GENERATOR,6. Электрика,6. Электрика,Генератор,"замена генератора; генератор",,,1.5
MANTGX_STARTER,6. Электрика,6. Электрика,Стартер,"замена стартера; стартер",,,2.3
MANTGX_DIAGNOSTIKA_ELEKTRONIKI,6. Электрика,6. Электрика,Диагностика электроники,"диагностика электроники; электрическая диагностика",,,3.0
MANTGX_REMONT_PROVODKI,6. Электрика,6. Электрика,Ремонт проводки,"ремонт проводки; электропроводка; жгут проводов",,,4.0
MANTGX_FARA,7. Освещение,7. Освещение,Фара,"замена фары; передняя фара",,,0.9
MANTGX_ZADNIY_FONAR,7. Освещение,7. Освещение,Задний фонарь,"замена заднего фонаря; задний фонарь",,,0.5
MANTGX_GABARITY,7. Освещение,7. Освещение,Габариты,"габариты; габаритный огонь; маркер",,,0.2
MANTGX_OPROKIDYVANIE_KABINY,8. Кузов и кабина,8. Кузов и кабина,Опрокидывание кабины,"опрокидывание кабины; поднятие кабины; кабина опрокидывать вперед назад",,,0.4
MANTGX_GIDROTSILINDR_KABINY,8. Кузов и кабина,8. Кузов и кабина,Гидроцилиндр кабины,"замена гидроцилиндра кабины; цилиндр подъема кабины",,,3.0
MANTGX_KRYLO,8. Кузов и кабина,8. Кузов и кабина,Крыло,"замена крыла; ремонт крыла",,,3.5
MANTGX_BAMPER,8. Кузов и кабина,8. Кузов и кабина,Бампер,"замена бампера; ремонт бампера",,,2.3
MANTGX_STEKLO_LOBOVOE,8. Кузов и кабина,8. Кузов и кабина,Стекло лобовое,"замена лобового стекла; ветровое стекло",,,2.0
MANTGX_SMAZKA_TRANSPORTNOGO_SREDSTVA,8. Кузов и кабина,8. Кузов и кабина,Смазка транспортного средства,"смазка транспортного средства; смазка автомобиля; шприцевание; смазка транспортного средства за исключением тягово сцепного устройства",,,0.3
MANTGX_SMAZKA_TSU,8. Кузов и кабина,8. Кузов и кабина,Смазка тягово-сцепного устройства,"смазка тягово сцепного устройства; смазка сцепного устройства; смазка тсу",,,0.2
MANTGX_OSUSHITEL_VOZDUHA,9. Пневмосистема,9. Пневмосистема,Осушитель воздуха,"осушитель воздуха; картридж осушителя",,,1.5
MANTGX_KLAPAN_ZASCHITNYY,9. Пневмосистема,9. Пневмосистема,Клапан защитный,"защитный клапан; четырехконтурный защитный клапан",,,1.5
MANTGX_PROVERKA_PNEVMOSISTEMY,9. Пневмосистема,9. Пневмосистема,Проверка пневмосистемы,"проверка пневмосистемы; диагностика пневмосистемы",,,1.5
MANTGX_REMONT_PNEVMOLINII,9. Пневмосистема,9. Пневмосистема,Ремонт пневмолинии,"ремонт пневмолинии; доработка пневмолинии",,,2.0
MANTGX_REGENERATSIYA_OSUSHITELYA,9. Пневмосистема,9. Пневмосистема,Регенерация устройства подготовки сжатого воздуха,"устройство подготовки сж возд eam выполнить регенерацию; уст во подготовки сж возд eam выполнить регенерацию; регенерация осушителя; осушитель регенерация",,,1.5
MANTGX_OCHISTKA_TOPLIVNOY_SISTEMY,10. Топливная система,10. Топливная система,Очистка топливной системы,"очистка топливной системы; промывка топливной системы",,,2.3
MANTGX_OCHISTKA_TOPLIVNOY_SISTEMY_I_BAKA,10. Топливная система,10. Топливная система,Очистка топливной системы и топливного бака,"очистка топливной системы и топливного бака; чистка топливной системы и бака",,,5.0
MANTGX_PROMYVKA_BAKA,10. Топливная система,10. Топливная система,Промывка бака,"промывка бака; промывка топливного бака",,,3.0
MANTGX_ZAMENA_TNVD,10. Топливная система,10. Топливная система,Замена ТНВД,"замена тнвд; топливный насос высокого давления",,,6.5
MANTGX_KOMPRESSOR,11. Кондиционер,11. Кондиционер,Компрессор,"компрессор кондиционера; замена компрессора кондиционера",,,5.0
MANTGX_OSUSHITEL,11. Кондиционер,11. Кондиционер,Осушитель,"осушитель кондиционера; фильтр осушитель",,,1.5
MANTGX_ZAPRAVKA,11. Кондиционер,11. Кондиционер,Заправка,"заправка кондиционера; обслуживание кондиционера",,,1.2
