code,category,source_sheet,name_ru,name_ru_alt,name_cn,name_en,standard_hours
VOLVOFH_BRK_TWO_AXLES,5. Ходовая и тормоза,5. Ходовая и тормоза,Тормоза (2 оси),"тормоза две оси; колодки 2 оси",,,6.00
VOLVOFH_BRK_CHAMBER,5. Ходовая и тормоза,5. Ходовая и тормоза,Замена тормозной камеры,"тормозная камера",,,1.10
VOLVOFH_BRK_ADJUST,5. Ходовая и тормоза,5. Ходовая и тормоза,Регулировка тормозов,"регулировка тормозов; тормоза регулировка",,,1.00
VOLVOFH_SUS_AIR_BAG,5. Ходовая и тормоза,5. Ходовая и тормоза,Замена пневмобаллона,"пневмобаллон; подушка подвески",,,1.10
VOLVOFH_HUB_SEAL,5. Ходовая и тормоза,5. Ходовая и тормоза,Замена ступичного сальника,"ступичный сальник; сальник ступицы",,,2.00
VOLVOFH_ELEC_BATTERY,6. Электрика,6. Электрика,Замена аккумулятора,"аккумулятор замена; батарея",,,0.90
VOLVOFH_ELEC_ALTERNATOR,6. Электрика,6. Электрика,Замена генератора,"генератор замена",,,1.40
VOLVOFH_ELEC_STARTER,6. Электрика,6. Электрика,Замена стартера,"стартер замена",,,2.40
VOLVOFH_ELEC_WIRING_REPAIR,6. Электрика,6. Электрика,Ремонт проводки,"ремонт проводки; жгут; электропроводка",,,4.00
VOLVOFH_ELEC_DIAGNOSTICS,6. Электрика,6. Электрика,Диагностика электроники,"диагностика электроники; электрическая диагностика",,,3.00
VOLVOFH_LIGHT_HEADLAMP,7. Освещение и мелкий ремонт,7. Освещение и мелкий ремонт,Замена фары,"фара замена; передняя фара",,,1.10
VOLVOFH_LIGHT_TAILLAMP,7. Освещение и мелкий ремонт,7. Освещение и мелкий ремонт,Замена заднего фонаря,"задний фонарь; фонарь задний правый; фонарь задний левый",,,0.60
VOLVOFH_LIGHT_MARKER,7. Освещение и мелкий ремонт,7. Освещение и мелкий ремонт,Замена маркера или габарита,"маркер; габарит; габаритный огонь",,,0.20
VOLVOFH_BODY_REAR_FENDER_STD,8. Кузов и навесное,8. Кузов и навесное,Заднее крыло. Замена.,,,,2.50
VOLVOFH_BODY_REAR_FENDER,8. Кузов и навесное,8. Кузов и навесное,Замена или ремонт заднего крыла (накладка),"крыло заднее; ремонт крыла; накладка крыла; заднее крыло замена",,,2.50
VOLVOFH_BODY_REAR_FENDER_RI,8. Кузов и навесное,8. Кузов и навесное,Замена заднего крыла с демонтажом,"крыло с демонтажом; заднее крыло демонтаж установка",,,3.80
VOLVOFH_BODY_BUMPER,8. Кузов и навесное,8. Кузов и навесное,Замена или ремонт бампера,"бампер; передний бампер",,,2.30
VOLVOFH_BODY_CAB_BUSHING,8. Кузов и навесное,8. Кузов и навесное,Замена подушки кабины,"подушка кабины; опора кабины",,,2.00
VOLVOFH_BODY_WINDSHIELD,8. Кузов и навесное,8. Кузов и навесное,Замена лобового стекла,"лобовое стекло; ветровое стекло",,,2.00
VOLVOFH_AC_COMPRESSOR,9. Кондиционер,9. Кондиционер,Замена компрессора кондиционера,"компрессор кондиционера; кондиционер компрессор",,,5.00
VOLVOFH_AC_DRIER,9. Кондиционер,9. Кондиционер,Замена осушителя кондиционера,"осушитель кондиционера; фильтр-осушитель",,,1.50
VOLVOFH_AC_SERVICE,9. Кондиционер,9. Кондиционер,Заправка или обслуживание кондиционера,"заправка кондиционера; обслуживание кондиционера",,,1.20
